rating_id,userId,movieId,rating,rating_date
19834829,202382,1,5.0,1997-05-20 06:50:22
25102792,256349,1,5.0,2017-08-24 03:49:46
15849334,161826,1,3.0,2016-12-17 15:13:43
21184239,216433,1,5.0,2015-11-19 04:07:21
4464337,45860,1,5.0,2001-11-24 12:06:59
21942429,224156,1,4.0,1997-07-11 18:02:52
15771010,161108,1,4.0,2015-08-04 02:32:44
27435787,279942,1,2.5,2015-05-16 03:27:42
24973626,255069,1,5.0,2017-01-21 08:29:45
7086294,72708,1,4.5,2015-06-29 08:56:26
21441792,219082,1,4.0,2015-08-16 16:54:37
5860265,60300,1,4.0,1997-07-13 18:19:40
26963011,275310,1,3.5,2016-03-27 06:00:35
15811040,161508,1,5.0,2018-08-08 18:21:27
26745424,273056,1,5.0,2017-01-09 02:01:38
14286889,146179,1,5.0,2015-10-13 12:39:18
1870155,19172,1,3.0,2018-04-13 00:52:54
9050359,93453,1,5.0,2017-01-21 10:01:21
7638767,78726,1,3.0,1997-06-07 13:52:01
1053020,10564,1,1.5,2016-02-25 03:32:27
11016681,113185,1,5.0,2015-07-23 14:19:23
26006137,265575,1,4.5,2015-08-16 10:03:53
4473625,45977,2,5.0,1999-03-08 16:42:58
12386795,126927,2,5.0,2017-01-22 05:45:05
25672625,262256,3,4.0,2002-01-06 02:39:15
6306162,64722,3,3.0,1997-06-12 04:01:42
5084435,52193,5,3.0,2008-10-28 08:10:11
12576647,128795,5,4.0,2011-12-19 20:41:04
9213721,95036,6,4.0,1997-12-03 09:53:16
25230401,257765,7,3.0,2005-06-13 05:36:43
15618622,159461,7,5.0,2006-02-04 00:53:04
18244582,186228,7,5.0,1997-06-13 02:20:48
21014736,214610,7,5.0,2006-09-10 04:51:41
12695236,130015,7,5.0,2005-11-11 03:57:12
15498146,158222,11,3.0,2001-10-22 13:29:57
25643674,261940,12,4.0,2008-04-09 14:22:23
22259612,227549,12,5.0,2010-11-13 12:35:59
26897375,274660,14,3.0,1997-07-22 19:20:24
3906623,40273,16,3.5,2004-09-11 01:12:38
12932630,132377,16,4.0,2004-12-18 07:18:50
206369,2041,17,5.0,1997-05-01 20:45:53
2635626,27191,17,2.0,1997-05-02 16:09:06
24554592,251081,17,5.0,1997-10-13 02:54:34
16970672,173498,19,5.0,2005-02-15 08:53:50
20595467,210308,19,3.0,2001-06-16 12:19:28
1376309,13941,19,1.0,2004-12-13 15:45:48
7931022,81651,19,3.0,2006-05-29 22:18:04
27421286,279763,19,0.5,2005-01-05 04:14:48
11152505,114576,19,5.0,2003-11-15 11:27:56
22852251,233600,19,3.0,2004-01-14 19:25:16
19685651,200805,19,4.0,2005-07-17 07:44:25
3761344,38689,19,0.5,2005-10-23 07:22:58
15411173,157545,19,2.0,2003-11-26 23:00:46
14106046,144420,24,3.0,2011-06-06 09:29:50
9885602,101900,24,4.0,2008-10-25 09:04:05
23211695,237348,25,5.0,1997-05-04 18:49:32
10476423,107713,25,5.0,1997-05-28 20:32:56
19228388,196177,25,5.0,1997-06-21 18:41:33
19693275,200924,25,4.0,1997-06-22 19:17:38
895971,8966,29,2.0,2007-06-01 01:21:40
17688704,180890,29,5.0,2015-10-20 15:53:47
20084883,204837,29,3.0,2014-10-01 09:19:49
2451221,25239,31,4.0,2012-10-25 07:53:31
13880782,142041,31,4.5,2010-12-11 04:52:09
3499989,35926,31,4.0,2009-10-28 12:05:40
8786958,90642,31,4.0,2012-10-05 20:13:39
20096530,204937,31,3.5,2009-01-09 12:54:25
18861391,192405,31,2.5,2013-05-31 13:22:25
492215,4986,32,3.0,1999-10-18 23:49:59
5465305,56264,32,4.0,1998-12-19 19:17:52
22160269,226583,32,1.0,1997-05-10 18:57:11
25554812,261029,32,3.0,1997-06-13 23:29:32
20096002,204924,34,1.0,2001-10-09 07:11:42
9306233,95880,36,5.0,1997-06-27 23:10:16
25509969,260548,39,4.0,2001-12-12 05:24:56
12438000,127423,44,3.0,2008-10-28 07:56:10
